         215         845           0           0           0           0
         216         846           0           0           0           0
         217         847           0           0           0           0
         218         836        1568          17         238          15
         219         837           0           0           0           0
         220         816        1688          20         270          12
         221         817           0           0           0           0
         222         818           0           0           0           0
         223         819           0           0           0           0
         224         820         116           3          22          13
         225         821           0           0           0           0
         226         822          44           5          11          18
         227         823           0           0           0           0
         228         818        1348          27         227           9
         229         819           0           0           0           0
         230         820         440          12          79          18
         231         821           0           0           0           0
         232         822          16           1           4          16
         233         823           0           0           0           0
         234         824           4           1           1          18
         235         825           0           0           0           0
         236         826           0           0           0           0
         237         827           0           0           0           0
         238         828          64           3          15          18
         239         829           0           0           0           0
         240         830           0           0           0           0
         241         831           0           0           0           0
         242         832           4           1           1          18
         243         833           0           0           0           0
         244         834           0           0           0           0
         245         835           0           0           0           0
         246         824         692          19         163          16
         247         825           0           0           0           0
         248         826           0           0           0           0
         249         827           0           0           0           0
         250         806        2236          28         263          17
         251         807           0           0           0           0
         252         808           0           0           0           0
         253         809           0           0           0           0
         254         810          68           7          17          18
         255         811           0           0           0           0
         256         812          68           2          16          12
         257         813           0           0           0           0
         258         814           0           0           0           0
         259         815           0           0           0           0
         260         816         352           8          88          16
         261         817           0           0           0           0
         262         812         568          17         125          16
         263         813           0           0           0           0
         264         806         680          25         158          12
         265         807           0           0           0           0
         266         808           4           1           1          18
         267         809           0           0           0           0
         268         810           0           0           0           0
         269         811           0           0           0           0
         270         808         392          14          97          17
         271         809           0           0           0           0
         272         810           0           0           0           0
         273         811           0           0           0           0
         274         812         408          18          88          16
         275         813           0           0           0           0
         276         814          52           5          12          17
         277         815           0           0           0           0
         278         816           0           0           0           0
         279         817           0           0           0           0
         280         818           4           1           1          18
         281         819           0           0           0           0
         282         820           0           0           0           0
         283         821           0           0           0           0
         284         822         304           5          60           5
         285         823           0           0           0           0
         286         824           4           1           1          18
         287         825           0           0           0           0
         288         826           0           0           0           0
         289         827           0           0           0           0
         290         826        1012          15         161          14
         291         827           0           0           0           0
         292         828          12           1           3          17
         293         829           0           0           0           0
         294         830         136           5          33          18
         295         831           0           0           0           0
         296         832           0           0           0           0
         297         833           0           0           0           0
         298         822         356           8          88          18
         299         823           0           0           0           0
         300         824           0           0           0           0
         301         825           0           0           0           0
         302         826           4           1           1          18
         303         827           0           0           0           0
         304         828           0           0           0           0
         305         829           0           0           0           0
         306         820        2376          22         235           9
         307         821           0           0           0           0
         308         822         272          16          68          18
         309         823           0           0           0           0
         310         824           4           1           1          18
         311         825           0           0           0           0
         312         826           0           0           0           0
         313         827           0           0           0           0
         314         828         144           7          33          17
         315         829           0           0           0           0
         316         830          80           5          20          15
         317         831           0           0           0           0
         318         832          32           5           8          18
         319         833           0           0           0           0
         320         834         696          24         162          13
         321         835           0           0           0           0
         322         836          44           3          10          17
         323         837           0           0           0           0
         324         838           0           0           0           0
         325         839           0           0           0           0
         326         840          20           2           5          18
         327         841           0           0           0           0
         328         842         204           7          51          13
         329         843           0           0           0           0
         330         844           4           1           1          18
         331         845           0           0           0           0
         332         846           0           0           0           0
         333         847           0           0           0           0
         334         848         152          10          34          16
         335         849           0           0           0           0
         336         842         432          14         105           3
         337         843           0           0           0           0
         338         844           4           1           1          18
         339         845           0           0           0           0
         340         846           0           0           0           0
         341         847           0           0           0           0
         342         848         124           5          28          18
         343         849           0           0           0           0
         344         850           4           1           1          18
         345         851           0           0           0           0
         346         852           0           0           0           0
         347         853           0           0           0           0
         348         846         436           8         109          15
         349         847           0           0           0           0
         350         848          88           3          15          15
         351         849           0           0           0           0
         352         850           0           0           0           0
         353         851           0           0           0           0
         354         852           4           1           1          18
         355         853           0           0           0           0
         356         854           0           0           0           0
         357         855           0           0           0           0
         358         856          12           1           3          17
         359         857           0           0           0           0
         360         834        1780          28         282          18
         361         835           0           0           0           0
         362         824        1608          20         260          14
         363         825           0           0           0           0
         364         826         192          12          47          17
         365         827           0           0           0           0
         366         828           0           0           0           0
         367         829           0           0           0           0
         368         830           4           1           1          18
         369         831           0           0           0           0
         370         832           0           0           0           0
         371         833           0           0           0           0
         372         834        1116          12         155           8
         373         835           0           0           0           0
         374         836           4           1           1          18
         375         837           0           0           0           0
         376         838           0           0           0           0
         377         839           0           0           0           0
         378         830         484          17         111          15
         379         831           0           0           0           0
         380         832           0           0           0           0
         381         833           0           0           0           0
         382         828         516          15         128          17
         383         829           0           0           0           0
         384         830           0           0           0           0
         385         831           0           0           0           0
         386         810        1628          22         226          18
         387         811           0           0           0           0
         388         812          52           2          12          15
         389         813           0           0           0           0
         390         814           0           0           0           0
         391         815           0           0           0           0
         392         806         764          13         139          16
         393         807           0           0           0           0
         394         808          68           4          13          16
         395         809           0           0           0           0
         396         810          64           4          16          12
         397         811           0           0           0           0
         398         812           4           1           1          18
         399         813           0           0           0           0
         400         814           0           0           0           0
         401         815           0           0           0           0
         402         812         672          21         165          17
         403         813           0           0           0           0
         404         814         104           7          26          16
         405         815           0           0           0           0
         406         814         236          19          59          18
         407         815           0           0           0           0
         408         816          80           7          19          17
         409         817           0           0           0           0
         410         818           0           0           0           0
         411         819           0           0           0           0
         412         820           4           1           1          18
         413         821           0           0           0           0
         414         822           0           0           0           0
         415         823           0           0           0           0
         416         824         580          10         108          11
         417         825           0           0           0           0
         418         826           4           1           1          18
         419         827           0           0           0           0
         420         828           0           0           0           0
         421         829           0           0           0           0
         422         826         688          24         109          16
         423         827           0           0           0           0
         424         828          12           1           3          17
         425         829           0           0           0           0
         426         830         248           6          62          18
         427         831           0           0           0           0
         428         830         512           5          94           3
         429         831           0           0           0           0
         430         832         228           7          56          18
         431         833           0           0           0           0
         432         834           0           0           0           0
         433         835           0           0           0           0
         434         812        1980          34         243          18
         435         813           0           0           0           0
         436         814         180           9          44          16
         437         815           0           0           0           0
         438         816           0           0           0           0
         439         817           0           0           0           0
         440         818         280          11          69          13
         441         819           0           0           0           0
         442         820           0           0           0           0
         443         821           0           0           0           0
         444         808         540           9          92           1
         445         809           0           0           0           0
         446         808         492           8         122          18
         447         809           0           0           0           0
         448         810           0           0           0           0
         449         811           0           0           0           0
         450         812         148           8          33          15
         451         813           0           0           0           0
         452         814          16           1           4          16
         453         815           0           0           0           0
         454         816           4           1           1          18
         455         817           0           0           0           0
         456         818           0           0           0           0
         457         819           0           0           0           0
         458         820         356          11          88          18
         459         821           0           0           0           0
         460         822           0           0           0           0
         461         823           0           0           0           0
         462         802         920          24         229          15
         463         803           0           0           0           0
         464         804           0           0           0           0
         465         805           0           0           0           0
         466         806        1548          19         214          16
         467         807           0           0           0           0
         468         808          64           4          16          15
         469         809           0           0           0           0
         470         806         416          13         103          17
         471         807           0           0           0           0
         472         808           0           0           0           0
         473         809           0           0           0           0
         474         810          40           4          10          18
         475         811           0           0           0           0
         476         812          60           2          14          16
         477         813           0           0           0           0
         478         814           0           0           0           0
         479         815           0           0           0           0
         480         816          36           3           9          17
         481         817           0           0           0           0
         482         804         596          14         149          18
         483         805           0           0           0           0
         484         806           4           1           1          18
         485         807           0           0           0           0
         486         808           0           0           0           0
         487         809           0           0           0           0
         488         804        1768          19         210          11
         489         805           0           0           0           0
         490         806           4           1           1          18
         491         807           0           0           0           0
         492         808           0           0           0           0
         493         809           0           0           0           0
         494         810          28           5           7          18
         495         811           0           0           0           0
         496         806         704          18         173          16
         497         807           0           0           0           0
         498         808           4           1           1          18
         499         809           0           0           0           0
