           0  0.65969999999999995     
           1  0.10680000000000001     
           2   1.9400000000000001E-002
           3   2.7699999999999999E-002
           4   1.6600000000000000E-002
           5   1.6199999999999999E-002
           6   1.0699999999999999E-002
           7   1.0000000000000000E-002
           8   8.3000000000000001E-003
           9   9.1000000000000004E-003
          10   7.1999999999999998E-003
          11   8.8000000000000005E-003
          12   7.3000000000000001E-003
          13   6.4000000000000003E-003
          14   7.3000000000000001E-003
          15   5.7000000000000002E-003
          16   6.7999999999999996E-003
          17   5.4999999999999997E-003
          18   7.1000000000000004E-003
          19   6.3000000000000000E-003
          20   5.7999999999999996E-003
          21   5.4000000000000003E-003
          22   4.1000000000000003E-003
          23   4.7999999999999996E-003
          24   4.3000000000000000E-003
          25   3.5000000000000001E-003
          26   3.0000000000000001E-003
          27   2.2000000000000001E-003
          28   2.3000000000000000E-003
          29   1.9000000000000000E-003
          30   1.5000000000000000E-003
          31   2.0000000000000000E-003
          32   8.9999999999999998E-004
          33   6.9999999999999999E-004
          34   8.9999999999999998E-004
          35   4.0000000000000002E-004
          36   8.9999999999999998E-004
          37   4.0000000000000002E-004
          38   5.9999999999999995E-004
          39   4.0000000000000002E-004
          40   0.0000000000000000     
          41   5.0000000000000001E-004
          42   0.0000000000000000     
          43   1.0000000000000000E-004
          44   1.0000000000000000E-004
          45   2.0000000000000001E-004
          46   1.0000000000000000E-004
          47   0.0000000000000000     
          48   1.0000000000000000E-004
