           0  0.66010000000000002     
           1   2.0000000000000001E-004
           2   5.0000000000000001E-004
           3   2.0999999999999999E-003
           4   2.0999999999999999E-003
           5   1.6999999999999999E-003
           6   3.3999999999999998E-003
           7   3.3999999999999998E-003
           8   3.7000000000000002E-003
           9   4.3000000000000000E-003
          10   6.1000000000000004E-003
          11   7.6000000000000000E-003
          12   1.1400000000000000E-002
          13   1.0200000000000001E-002
          14   1.8100000000000002E-002
          15   1.5699999999999999E-002
          16   4.1799999999999997E-002
          17   2.9700000000000001E-002
          18  0.17790000000000000     
